area,keys,filename,width,layouts,translations
area_hui_small_top;area_hui_small_top_1;area_hui_small_top_2;area_hui_small_top_3;area_hui_small_top_4,5.,hs_wu,0,,
area_hui_small_top;area_hui_small_top_1;area_hui_small_top_2;area_hui_small_top_3;area_hui_small_top_4,6.,hs_liu,0,,
area_hui_small_top;area_hui_small_top_1;area_hui_small_top_2;area_hui_small_top_3;area_hui_small_top_4,7.,hs_qi,0,,
area_hui_small_top;area_hui_small_top_1;area_hui_small_top_2;area_hui_small_top_3;area_hui_small_top_4,8.,hs_ba,0,,
area_hui_small_top;area_hui_small_top_1;area_hui_small_top_2;area_hui_small_top_3;area_hui_small_top_4,9.,hs_jiu,0,,
area_hui_small_top;area_hui_small_top_1;area_hui_small_top_2;area_hui_small_top_3;area_hui_small_top_4,10.,hs_shi,0,,
area_hui_small_top;area_hui_small_top_1;area_hui_small_top_2;area_hui_small_top_3;area_hui_small_top_4,11.,hs_shiyi,0,,
area_hui_small_top;area_hui_small_top_1;area_hui_small_top_2;area_hui_small_top_3;area_hui_small_top_4,12.,hs_shier,0,,
area_hui_small_top;area_hui_small_top_1;area_hui_small_top_2;area_hui_small_top_3;area_hui_small_top_4,13.,hs_shisan,0,,
area_hui_small_bottom;area_hui_small_bottom_1;area_hui_small_bottom_2;area_hui_small_bottom_3;area_hui_small_bottom_4,.1,hs_yi,0,,
area_hui_small_bottom;area_hui_small_bottom_1;area_hui_small_bottom_2;area_hui_small_bottom_3;area_hui_small_bottom_4,.2,hs_er,0,,
area_hui_small_bottom;area_hui_small_bottom_1;area_hui_small_bottom_2;area_hui_small_bottom_3;area_hui_small_bottom_4,.3,hs_san,0,,
area_hui_small_bottom;area_hui_small_bottom_1;area_hui_small_bottom_2;area_hui_small_bottom_3;area_hui_small_bottom_4,.4,hs_si,0,,
area_hui_small_bottom;area_hui_small_bottom_1;area_hui_small_bottom_2;area_hui_small_bottom_3;area_hui_small_bottom_4,.5,hs_ban,0,,半;半;bàn
area_hui_small_bottom;area_hui_small_bottom_1;area_hui_small_bottom_2;area_hui_small_bottom_3;area_hui_small_bottom_4,.6,hs_liu,0,,
area_hui_small_bottom;area_hui_small_bottom_1;area_hui_small_bottom_2;area_hui_small_bottom_3;area_hui_small_bottom_4,.7,hs_qi,0,,
area_hui_small_bottom;area_hui_small_bottom_1;area_hui_small_bottom_2;area_hui_small_bottom_3;area_hui_small_bottom_4,.8,hs_ba,0,,
